X1 Diff,X2 Diff,X3 Diff,X4 Diff,Odds
-0.581,-0.308,-0.120,-0.336,2.45
0.581,0.308,0.120,0.336,1.59
-0.491,0.745,0.360,0.205,2.15
0.491,-0.745,-0.360,-0.205,1.74
0.744,0.759,0.900,0.801,1.47
-0.744,-0.759,-0.900,-0.801,2.80
0.503,-0.401,-0.620,-0.173,2.20
-0.503,0.401,0.620,0.173,1.71
-0.771,-0.879,-0.530,-0.726,2.45
0.771,0.879,0.530,0.726,1.59
-0.530,0.211,0.320,0.000,1.91
0.530,-0.211,-0.320,0.000,1.91
0.017,0.350,0.250,0.206,1.91
-0.017,-0.350,-0.250,-0.206,1.91
1.163,-0.059,-0.150,0.318,1.56
-1.163,0.059,0.150,-0.318,2.50
0.570,0.181,0.050,0.267,1.83
-0.570,-0.181,-0.050,-0.267,2.00
2.826,1.078,1.490,1.798,1.37
-2.826,-1.078,-1.490,-1.798,3.20
0.531,0.201,-0.100,0.211,2.40
-0.531,-0.201,0.100,-0.211,1.61
-0.461,-0.267,-0.100,-0.276,2.15
0.461,0.267,0.100,0.276,1.74
-0.884,0.313,0.440,-0.044,2.05
0.884,-0.313,-0.440,0.044,1.80
0.480,-0.457,-0.420,-0.133,1.61
-0.480,0.457,0.420,0.133,2.45
0.244,0.767,0.410,0.474,2.40
-0.244,-0.767,-0.410,-0.474,1.63
-0.480,0.093,0.400,0.005,2.10
0.480,-0.093,-0.400,-0.005,1.77
-0.614,-0.219,-0.040,-0.291,2.00
0.614,0.219,0.040,0.291,1.80
0.169,0.502,0.420,0.363,1.65
-0.169,-0.502,-0.420,-0.363,2.35
-0.698,-2.171,-1.140,-1.336,2.45
0.698,2.171,1.140,1.336,1.61
0.911,0.223,0.040,0.392,1.33
-0.911,-0.223,-0.040,-0.392,3.45
0.380,1.771,1.630,1.260,1.87
-0.380,-1.771,-1.630,-1.260,1.95
0.209,0.219,0.500,0.309,1.71
-0.209,-0.219,-0.500,-0.309,2.20
0.589,-0.295,-0.270,0.008,1.77
-0.589,0.295,0.270,-0.008,2.10
0.375,0.923,0.580,0.626,1.59
-0.375,-0.923,-0.580,-0.626,2.50
-1.335,0.555,0.680,-0.033,2.30
1.335,-0.555,-0.680,0.033,1.65
-0.145,-1.353,-1.650,-1.049,2.05
0.145,1.353,1.650,1.049,1.80
0.082,-0.366,-0.330,-0.205,2.05
-0.082,0.366,0.330,0.205,1.77
0.428,-0.333,-0.310,-0.072,2.25
-0.428,0.333,0.310,0.072,1.67
0.514,-0.366,0.100,0.082,1.69
-0.514,0.366,-0.100,-0.082,2.20
-0.258,-0.604,-0.710,-0.524,3.05
0.258,0.604,0.710,0.524,1.41
-0.451,-0.439,-0.430,-0.440,2.10
0.451,0.439,0.430,0.440,1.74
-0.389,-1.452,-1.090,-0.977,2.05
0.389,1.452,1.090,0.977,1.77
-0.303,-0.391,-0.400,-0.365,2.30
0.303,0.391,0.400,0.365,1.56
-0.742,0.178,0.340,-0.075,2.60
0.742,-0.178,-0.340,0.075,1.44
-1.126,-0.108,0.220,-0.338,2.35
1.126,0.108,-0.220,0.338,1.65
0.939,1.010,1.120,1.023,1.43
-0.939,-1.010,-1.120,-1.023,2.90
0.994,0.602,-0.090,0.502,1.57
-0.994,-0.602,0.090,-0.502,2.45
0.348,-0.347,-0.120,-0.040,1.74
-0.348,0.347,0.120,0.040,2.15
-0.191,0.484,0.500,0.264,2.55
0.191,-0.484,-0.500,-0.264,1.67
-0.909,0.707,0.780,0.193,1.83
0.909,-0.707,-0.780,-0.193,2.00
0.816,0.360,0.320,0.499,1.57
-0.816,-0.360,-0.320,-0.499,2.45
-0.252,-0.169,-0.140,-0.187,2.75
0.252,0.169,0.140,0.187,1.47
0.377,-0.332,-0.090,-0.015,1.63
-0.377,0.332,0.090,0.015,2.35
-0.667,-2.311,-0.620,-1.199,2.20
0.667,2.311,0.620,1.199,1.69
0.271,0.395,0.580,0.415,1.77
-0.271,-0.395,-0.580,-0.415,2.10
0.501,0.405,-0.170,0.245,1.54
-0.501,-0.405,0.170,-0.245,2.55
0.991,0.780,0.790,0.854,1.64
-0.991,-0.780,-0.790,-0.854,2.31
-0.401,0.623,0.660,0.294,1.87
0.401,-0.623,-0.660,-0.294,1.95
0.735,-0.397,-0.060,0.092,1.83
-0.735,0.397,0.060,-0.092,1.95
0.462,0.563,0.380,0.468,1.74
-0.462,-0.563,-0.380,-0.468,2.15
0.877,0.055,-0.050,0.294,1.51
-0.877,-0.055,0.050,-0.294,2.65
0.085,0.082,0.220,0.129,2.25
-0.085,-0.082,-0.220,-0.129,1.67
-0.364,-0.102,0.120,-0.115,2.60
0.364,0.102,-0.120,0.115,1.53
-0.269,-0.709,-0.820,-0.599,3.60
0.269,0.709,0.820,0.599,1.32
-1.194,0.825,0.900,0.177,1.95
1.194,-0.825,-0.900,-0.177,1.83
-1.402,-0.522,-0.360,-0.761,3.75
1.402,0.522,0.360,0.761,1.30
-0.390,-0.063,-0.110,-0.187,2.20
0.390,0.063,0.110,0.187,1.69
0.087,0.206,0.420,0.238,1.69
-0.087,-0.206,-0.420,-0.238,2.25
0.539,0.482,0.460,0.494,1.91
-0.539,-0.482,-0.460,-0.494,1.91
0.299,-0.043,-0.240,0.005,2.10
-0.299,0.043,0.240,-0.005,1.77
0.435,-0.734,-0.510,-0.270,2.35
-0.435,0.734,0.510,0.270,1.65
0.740,-0.662,-0.660,-0.194,2.40
-0.740,0.662,0.660,0.194,1.63
-0.376,-0.520,-0.150,-0.349,2.60
0.376,0.520,0.150,0.349,1.54
-1.193,-1.006,0.300,-0.633,3.80
1.193,1.006,-0.300,0.633,1.29
1.192,0.687,0.140,0.673,1.51
-1.192,-0.687,-0.140,-0.673,2.50
0.521,0.501,-0.470,0.184,1.32
-0.521,-0.501,0.470,-0.184,3.55
0.402,-0.036,0.130,0.165,2.15
-0.402,0.036,-0.130,-0.165,1.74
-0.004,0.239,0.530,0.255,1.80
0.004,-0.239,-0.530,-0.255,2.05
-0.307,0.563,0.540,0.265,1.91
0.307,-0.563,-0.540,-0.265,1.91
1.501,-0.321,-0.510,0.223,2.10
-1.501,0.321,0.510,-0.223,1.76
-0.920,-0.986,-1.090,-0.998,2.30
0.920,0.986,1.090,0.998,1.67
0.397,-0.286,-0.520,-0.136,1.74
-0.397,0.286,0.520,0.136,2.15
-1.142,0.078,-0.290,-0.451,4.00
1.142,-0.078,0.290,0.451,1.27
0.064,0.413,0.290,0.256,1.59
-0.064,-0.413,-0.290,-0.256,2.20
-0.092,-0.326,-0.300,-0.239,2.60
0.092,0.326,0.300,0.239,1.56
-0.391,0.307,0.230,0.049,2.20
0.391,-0.307,-0.230,-0.049,1.65
-0.317,0.509,0.380,0.190,2.40
0.317,-0.509,-0.380,-0.190,1.65
0.141,-0.061,0.100,0.060,2.65
-0.141,0.061,-0.100,-0.060,1.53
-0.286,0.710,0.670,0.365,2.05
0.286,-0.710,-0.670,-0.365,1.80
0.574,0.036,-0.100,0.170,2.50
-0.574,-0.036,0.100,-0.170,1.59
-0.182,-5.017,-0.510,-1.903,1.91
0.182,5.017,0.510,1.903,1.91
1.260,-0.769,-0.530,-0.013,2.65
-1.260,0.769,0.530,0.013,1.51
-0.470,0.149,0.080,-0.080,2.15
0.470,-0.149,-0.080,0.080,1.74
-1.157,0.426,0.230,-0.167,2.30
1.157,-0.426,-0.230,0.167,1.67
1.006,0.463,0.230,0.566,1.61
-1.006,-0.463,-0.230,-0.566,2.45
0.353,-0.005,-0.430,-0.027,2.40
-0.353,0.005,0.430,0.027,1.62
0.154,1.140,0.450,0.581,1.95
-0.154,-1.140,-0.450,-0.581,1.85
0.330,-0.199,-0.200,-0.023,2.05
-0.330,0.199,0.200,0.023,1.85
-0.628,0.967,0.780,0.373,1.60
0.628,-0.967,-0.780,-0.373,2.40
-1.421,-0.166,-0.010,-0.532,2.60
1.421,0.166,0.010,0.532,1.43
0.048,0.125,0.260,0.145,1.77
-0.048,-0.125,-0.260,-0.145,2.05
0.296,-0.219,-0.250,-0.057,2.10
-0.296,0.219,0.250,0.057,1.75
0.013,0.056,-0.140,-0.024,3.00
-0.013,-0.056,0.140,0.024,1.41
1.288,1.030,1.340,1.219,1.42
-1.288,-1.030,-1.340,-1.219,3.00
2.616,0.166,0.070,0.951,1.54
-2.616,-0.166,-0.070,-0.951,2.55
0.399,0.049,-0.040,0.136,2.45
-0.399,-0.049,0.040,-0.136,1.57
-0.524,0.071,-0.030,-0.161,2.50
0.524,-0.071,0.030,0.161,1.57
-0.543,-0.141,0.030,-0.218,2.00
0.543,0.141,-0.030,0.218,1.83
0.639,0.039,0.310,0.330,1.67
-0.639,-0.039,-0.310,-0.330,2.25
0.148,-0.970,-1.100,-0.641,2.15
-0.148,0.970,1.100,0.641,1.71
0.410,-0.960,-0.920,-0.490,2.80
-0.410,0.960,0.920,0.490,1.45
0.669,0.005,-0.100,0.191,2.83
-0.669,-0.005,0.100,-0.191,1.45
0.394,0.867,1.300,0.854,1.45
-0.394,-0.867,-1.300,-0.854,2.83
-0.646,-0.064,-0.190,-0.300,2.90
0.646,0.064,0.190,0.300,1.47
0.788,-0.238,-0.510,0.013,2.25
-0.788,0.238,0.510,-0.013,1.69
-0.949,-0.158,-0.380,-0.496,2.97
0.949,0.158,0.380,0.496,1.42
-0.586,-0.957,-0.740,-0.761,2.75
0.586,0.957,0.740,0.761,1.48
0.141,-0.374,-0.400,-0.211,2.50
-0.141,0.374,0.400,0.211,1.56
0.870,-0.253,-0.040,0.192,2.05
-0.870,0.253,0.040,-0.192,1.80
-0.025,0.973,0.450,0.466,1.91
0.025,-0.973,-0.450,-0.466,1.91
0.527,-1.474,-1.750,-0.899,1.77
-0.527,1.474,1.750,0.899,2.05
-0.276,-0.043,0.280,-0.013,2.35
0.276,0.043,-0.280,0.013,1.63
-0.382,-0.015,-0.240,-0.213,2.75
0.382,0.015,0.240,0.213,1.48
0.774,-1.009,-1.120,-0.452,2.10
-0.774,1.009,1.120,0.452,1.74
-1.762,-0.551,-0.260,-0.858,3.90
1.762,0.551,0.260,0.858,1.28
0.809,0.104,0.140,0.351,1.61
-0.809,-0.104,-0.140,-0.351,2.40
-0.723,-0.724,-0.700,-0.716,2.25
0.723,0.724,0.700,0.716,1.83
0.204,0.360,0.340,0.301,2.10
-0.204,-0.360,-0.340,-0.301,1.77
0.060,-0.372,-0.510,-0.274,2.70
-0.060,0.372,0.510,0.274,1.50
-0.173,0.877,0.050,0.251,1.83
0.173,-0.877,-0.050,-0.251,2.00
-0.639,-0.800,-0.600,-0.680,2.95
0.639,0.800,0.600,0.680,1.43
0.734,-0.004,-0.050,0.226,1.50
-0.734,0.004,0.050,-0.226,2.70
0.214,0.513,0.710,0.479,1.80
-0.214,-0.513,-0.710,-0.479,2.05
1.729,-0.046,-0.140,0.514,1.56
-1.729,0.046,0.140,-0.514,2.50
-0.005,0.067,0.800,0.288,1.63
0.005,-0.067,-0.800,-0.288,2.35
0.972,0.256,0.360,0.529,1.43
-0.972,-0.256,-0.360,-0.529,2.95
-0.690,-1.327,-1.110,-1.042,3.15
0.690,1.327,1.110,1.042,1.39
-0.237,0.203,-0.170,-0.068,2.25
0.237,-0.203,0.170,0.068,1.67
0.799,0.503,0.300,0.534,1.65
-0.799,-0.503,-0.300,-0.534,2.30
-1.301,-1.026,-0.640,-0.989,2.40
1.301,1.026,0.640,0.989,1.61
-0.355,0.204,0.240,0.030,2.55
0.355,-0.204,-0.240,-0.030,1.56
-0.084,0.535,0.610,0.354,2.30
0.084,-0.535,-0.610,-0.354,1.61
1.089,0.067,0.160,0.439,1.56
-1.089,-0.067,-0.160,-0.439,2.55
0.397,0.603,0.700,0.566,1.74
-0.397,-0.603,-0.700,-0.566,2.15
-0.552,-0.640,-0.510,-0.567,2.70
0.552,0.640,0.510,0.567,1.50
-0.705,0.796,0.690,0.260,1.53
0.705,-0.796,-0.690,-0.260,2.50
0.179,1.109,0.390,0.559,2.30
-0.179,-1.109,-0.390,-0.559,1.65
-0.450,-0.393,-0.340,-0.394,3.60
0.450,0.393,0.340,0.394,1.29
0.198,-0.398,-0.150,-0.117,1.74
-0.198,0.398,0.150,0.117,2.10
0.299,-0.063,0.010,0.082,2.25
-0.299,0.063,-0.010,-0.082,1.67
0.731,0.498,0.460,0.563,1.69
-0.731,-0.498,-0.460,-0.563,2.20
0.280,0.125,0.170,0.192,2.00
-0.280,-0.125,-0.170,-0.192,1.80
0.499,0.678,0.550,0.575,1.57
-0.499,-0.678,-0.550,-0.575,2.45
0.418,0.145,0.210,0.258,1.91
-0.418,-0.145,-0.210,-0.258,1.95
-0.545,-0.620,-0.360,-0.508,2.05
0.545,0.620,0.360,0.508,1.80
-0.256,0.670,0.350,0.254,2.70
0.256,-0.670,-0.350,-0.254,1.49
0.625,-0.642,-0.610,-0.209,1.91
-0.625,0.642,0.610,0.209,1.91
0.101,-0.516,-0.520,-0.312,1.74
-0.101,0.516,0.520,0.312,2.10
-0.480,0.295,-0.040,-0.075,2.60
0.480,-0.295,0.040,0.075,1.54
0.403,0.340,0.360,0.368,1.83
-0.403,-0.340,-0.360,-0.368,2.00
0.824,-0.043,-0.260,0.174,1.69
-0.824,0.043,0.260,-0.174,2.25
0.174,0.559,0.730,0.487,2.10
-0.174,-0.559,-0.730,-0.487,1.80
-0.162,-0.162,-0.190,-0.171,2.50
0.162,0.162,0.190,0.171,1.62
0.927,1.201,0.850,0.992,1.50
-0.927,-1.201,-0.850,-0.992,2.44
0.891,-0.047,-0.320,0.175,1.76
-0.891,0.047,0.320,-0.175,2.09
0.043,-0.169,-0.020,-0.049,2.25
-0.043,0.169,0.020,0.049,1.63
-0.129,-0.576,-0.590,-0.432,2.20
0.129,0.576,0.590,0.432,1.74
-0.497,0.551,0.380,0.145,2.45
0.497,-0.551,-0.380,-0.145,1.57
-0.312,-0.838,-0.790,-0.647,2.30
0.312,0.838,0.790,0.647,1.67
0.336,-0.016,0.070,0.130,1.80
-0.336,0.016,-0.070,-0.130,2.05
1.345,0.553,0.140,0.679,1.45
-1.345,-0.553,-0.140,-0.679,2.80
-0.486,-1.081,-1.140,-0.902,3.25
0.486,1.081,1.140,0.902,1.36
-0.055,-0.043,0.200,0.034,2.05
0.055,0.043,-0.200,-0.034,1.80
-0.049,-0.012,-0.300,-0.120,2.55
0.049,0.012,0.300,0.120,1.57
0.235,-0.142,0.210,0.101,2.00
-0.235,0.142,-0.210,-0.101,1.83
1.634,-0.058,-0.470,0.369,1.65
-1.634,0.058,0.470,-0.369,2.30
-0.009,0.065,-0.060,-0.001,2.65
0.009,-0.065,0.060,0.001,1.50
0.149,-0.509,-0.310,-0.223,2.00
-0.149,0.509,0.310,0.223,1.80
0.278,-0.412,-0.310,-0.148,1.80
-0.278,0.412,0.310,0.148,2.00
-1.958,-0.883,-1.160,-1.334,4.90
1.958,0.883,1.160,1.334,1.21
0.241,0.580,0.660,0.494,1.59
-0.241,-0.580,-0.660,-0.494,2.45
-0.623,-0.595,-0.320,-0.513,2.75
0.623,0.595,0.320,0.513,1.47
-0.622,-0.127,-0.110,-0.287,2.35
0.622,0.127,0.110,0.287,1.65
0.151,0.641,0.610,0.467,1.80
-0.151,-0.641,-0.610,-0.467,2.00
-0.067,0.381,0.370,0.228,1.87
0.067,-0.381,-0.370,-0.228,1.95
-0.206,0.918,0.950,0.554,1.67
0.206,-0.918,-0.950,-0.554,2.35
0.549,0.447,0.280,0.426,1.69
-0.549,-0.447,-0.280,-0.426,2.25
0.269,-0.238,-0.170,-0.046,2.30
-0.269,0.238,0.170,0.046,1.67
-1.460,-1.032,-0.760,-1.084,4.50
1.460,1.032,0.760,1.084,1.23
0.046,-0.575,-0.660,-0.396,2.25
-0.046,0.575,0.660,0.396,1.67
-0.866,0.427,0.530,0.030,2.30
0.866,-0.427,-0.530,-0.030,1.63
-0.469,-0.343,-0.130,-0.314,2.60
0.469,0.343,0.130,0.314,1.51
-0.565,-0.685,-0.510,-0.587,2.71
0.565,0.685,0.510,0.587,1.49
-0.715,0.151,0.340,-0.075,1.81
0.715,-0.151,-0.340,0.075,2.03
0.866,0.238,0.020,0.375,1.54
-0.866,-0.238,-0.020,-0.375,2.55
-0.573,-0.602,-0.400,-0.525,3.20
0.573,0.602,0.400,0.525,1.38
0.554,-0.684,-0.310,-0.147,1.65
-0.554,0.684,0.310,0.147,2.25
-0.387,0.059,0.280,-0.016,2.40
0.387,-0.059,-0.280,0.016,1.59
-0.840,-0.751,-1.000,-0.863,3.50
0.840,0.751,1.000,0.863,1.34
-0.171,-0.329,-0.170,-0.223,2.26
0.171,0.329,0.170,0.223,1.66
0.252,-0.646,-0.530,-0.308,2.75
-0.252,0.646,0.530,0.308,1.51
-0.379,0.446,0.720,0.262,2.05
0.379,-0.446,-0.720,-0.262,1.80
-1.179,0.279,0.490,-0.137,2.30
1.179,-0.279,-0.490,0.137,1.63
0.396,-0.369,-0.520,-0.164,2.67
-0.396,0.369,0.520,0.164,1.50
-0.275,-0.381,0.010,-0.215,2.55
0.275,0.381,-0.010,0.215,1.53
-0.431,1.074,1.000,0.548,1.83
0.431,-1.074,-1.000,-0.548,2.00
-0.047,0.210,0.100,0.088,1.71
0.047,-0.210,-0.100,-0.088,2.15
0.751,-0.092,-0.380,0.093,2.15
-0.751,0.092,0.380,-0.093,1.71
-0.315,-0.846,-0.530,-0.564,2.00
0.315,0.846,0.530,0.564,1.80
0.019,0.542,0.520,0.360,2.10
-0.019,-0.542,-0.520,-0.360,1.74
0.183,0.231,0.240,0.218,1.87
-0.183,-0.231,-0.240,-0.218,1.95
-0.040,0.202,0.320,0.161,2.18
0.040,-0.202,-0.320,-0.161,1.70
0.039,-0.454,-0.560,-0.325,2.85
-0.039,0.454,0.560,0.325,1.34
-0.773,-0.467,0.160,-0.360,1.69
0.773,0.467,-0.160,0.360,2.25
-0.150,0.033,-0.110,-0.076,2.31
0.150,-0.033,0.110,0.076,1.64
-0.395,-0.197,-0.280,-0.291,2.10
0.395,0.197,0.280,0.291,1.77
-0.883,0.486,0.290,-0.036,2.85
0.883,-0.486,-0.290,0.036,1.45
0.610,0.220,0.330,0.387,2.10
-0.610,-0.220,-0.330,-0.387,1.74
-0.888,0.326,0.420,-0.048,2.65
0.888,-0.326,-0.420,0.048,1.50
1.043,-0.049,0.190,0.394,1.74
-1.043,0.049,-0.190,-0.394,2.10
0.426,0.284,0.030,0.247,1.65
-0.426,-0.284,-0.030,-0.247,2.30
0.463,-0.856,-0.410,-0.268,2.10
-0.463,0.856,0.410,0.268,1.74
-0.023,0.793,0.130,0.300,1.95
0.023,-0.793,-0.130,-0.300,1.87
-1.086,-0.321,-0.260,-0.556,3.50
1.086,0.321,0.260,0.556,1.34
-0.156,0.491,0.370,0.235,2.06
0.156,-0.491,-0.370,-0.235,1.80
-0.677,-0.086,-0.340,-0.368,2.70
0.677,0.086,0.340,0.368,1.49
0.451,-0.346,-0.660,-0.185,2.10
-0.451,0.346,0.660,0.185,1.74
-0.268,-0.120,-0.170,-0.186,2.25
0.268,0.120,0.170,0.186,1.67
0.757,-0.789,-0.690,-0.241,1.57
-0.757,0.789,0.690,0.241,2.45
0.368,-0.454,-0.180,-0.089,1.87
-0.368,0.454,0.180,0.089,1.95
-0.196,-0.257,-0.110,-0.188,1.83
0.196,0.257,0.110,0.188,2.00
1.711,0.683,0.530,0.975,1.26
-1.711,-0.683,-0.530,-0.975,4.00
-0.267,0.314,0.280,0.109,2.10
0.267,-0.314,-0.280,-0.109,1.77
-1.310,-0.525,-0.440,-0.758,2.60
1.310,0.525,0.440,0.758,1.51
0.192,0.046,-0.140,0.033,1.95
-0.192,-0.046,0.140,-0.033,1.87
1.028,1.136,0.900,1.021,1.74
-1.028,-1.136,-0.900,-1.021,2.15
0.003,0.186,0.400,0.196,2.50
-0.003,-0.186,-0.400,-0.196,1.54
-0.705,-0.370,-0.320,-0.465,2.95
0.705,0.370,0.320,0.465,1.31
0.011,-0.353,-0.130,-0.157,2.00
-0.011,0.353,0.130,0.157,1.81
1.247,-0.703,-0.580,-0.012,1.69
-1.247,0.703,0.580,0.012,2.20
0.106,-0.182,-0.080,-0.052,2.80
-0.106,0.182,0.080,0.052,1.48
-0.797,0.371,0.190,-0.079,2.50
0.797,-0.371,-0.190,0.079,1.59
0.505,-1.588,-0.960,-0.681,1.83
-0.505,1.588,0.960,0.681,2.00
-0.325,0.449,0.310,0.145,2.39
0.325,-0.449,-0.310,-0.145,1.60
-0.193,1.044,1.090,0.647,1.83
0.193,-1.044,-1.090,-0.647,2.00
0.098,0.008,-0.010,0.032,1.95
-0.098,-0.008,0.010,-0.032,1.87
-0.753,-0.336,-0.110,-0.400,2.10
0.753,0.336,0.110,0.400,1.77
0.113,0.181,0.260,0.185,2.15
-0.113,-0.181,-0.260,-0.185,1.71
-1.187,-0.065,0.010,-0.414,3.25
1.187,0.065,-0.010,0.414,1.39
0.177,-1.071,-1.040,-0.645,2.85
-0.177,1.071,1.040,0.645,1.45
-1.038,-1.800,-1.820,-1.553,4.30
1.038,1.800,1.820,1.553,1.10
-0.617,-0.482,-0.180,-0.426,2.50
0.617,0.482,0.180,0.426,1.56
-0.582,-0.752,-0.860,-0.731,2.90
0.582,0.752,0.860,0.731,1.45
-0.320,-0.443,-0.320,-0.361,2.30
0.320,0.443,0.320,0.361,1.65
-0.473,-0.508,-0.520,-0.500,2.50
0.473,0.508,0.520,0.500,1.59
-0.709,0.060,-0.190,-0.280,3.10
0.709,-0.060,0.190,0.280,1.39
-0.557,-0.434,-0.210,-0.400,2.33
0.557,0.434,0.210,0.400,1.63
-0.402,0.359,-0.070,-0.038,2.70
0.402,-0.359,0.070,0.038,1.53
-0.197,0.395,0.140,0.112,2.00
0.197,-0.395,-0.140,-0.112,1.83
1.247,0.132,0.060,0.479,1.45
-1.247,-0.132,-0.060,-0.479,2.83
0.494,-0.492,-0.380,-0.126,1.91
-0.494,0.492,0.380,0.126,1.91
-1.023,0.003,0.060,-0.320,2.50
1.023,-0.003,-0.060,0.320,1.59
-0.218,0.362,0.400,0.181,1.77
0.218,-0.362,-0.400,-0.181,2.05
0.428,-0.554,0.070,-0.019,1.80
-0.428,0.554,-0.070,0.019,2.00
0.761,-1.112,-1.110,-0.487,1.67
-0.761,1.112,1.110,0.487,2.25
0.334,0.247,0.490,0.357,1.63
-0.334,-0.247,-0.490,-0.357,2.35